Company Name,Scope1+2Total,Rank,Exclusions,AssureType,Revenues,Scope1+2-Revenues,RankRevenues,SasbIndustry,RankIndustry,EpaScope1Emit,EpaScope1Rank,EpaScope1/Revenues,EpaRankRevenues
Vulcan Materials Company,"965,246.00",228.00,no,no assurances,"4,875.93",197.96,262.00,Construction Materials,1.00,0.00,1,0.00,1.00
W. R. Berkley Corporation,"1,097.00",3.00,yes,no assurances,"8,445.18",0.13,2.00,Insurance,1.00,0.00,1,0.00,1.00
"W.W. Grainger, Inc.","103,096.00",114.00,no,limited,"11,880.00",8.68,97.00,Multiline and Specialty Retailers & Distributors,1.00,0.00,1,0.00,1.00
"Walgreens Boots Alliance, Inc.","1,853,000.00",250.00,no,limited,"142,507.00",13.00,129.00,Drug Retailers,2.00,0.00,1,0.00,1.00
Walmart Inc.,"16,430,000.00",304.00,no,limited,"562,839.00",29.19,183.00,Multiline and Specialty Retailers & Distributors,10.00,0.00,1,0.00,1.00
"Waste Management, Inc.","16,319,371.00",303.00,yes,limited,"15,601.00","1,046.05",298.00,Waste Management,2.00,"12,711,114.00",380,814.76,380.00
Waters Corporation,"22,156.00",39.00,no,no assurances,"2,508.97",8.83,98.00,Medical Equipment & Supplies,1.00,0.00,1,0.00,1.00
"WEC Energy Group, Inc.","20,241,000.00",310.00,no,no assurances,"7,824.50","2,586.87",314.00,Electric Utilities & Power Generators,7.00,"20,016,080.00",384,"2,558.13",390.00
Wells Fargo & Company,"86,017.00",102.00,no,limited,"63,718.00",1.35,31.00,Commercial Banks,11.00,"29,976.00",301,0.47,296.00
Welltower Inc.,"469,011.00",196.00,no,limited,"4,399.43",106.61,250.00,Real Estate,19.00,0.00,1,0.00,1.00
"West Pharmaceutical Services, Inc.","120,859.00",127.00,yes,no assurances,"2,326.10",51.96,228.00,Medical Equipment & Supplies,9.00,0.00,1,0.00,1.00
Western Digital Corporation,"976,035.00",229.00,no,limited,"16,289.00",59.92,234.00,Hardware,9.00,0.00,1,0.00,1.00
Westinghouse Air Brake Technologies Corporation,"305,095.00",174.00,no,limited,"7,456.40",40.92,214.00,Industrial Machinery & Goods,5.00,0.00,1,0.00,1.00
WestRock Company,"9,206,494.00",288.00,yes,limited,"17,547.10",524.67,284.00,Containers & Packaging,3.00,"6,808,157.00",370,387.99,372.00
Whirlpool Corporation,"648,571.00",209.00,yes,limited,"20,489.00",31.65,193.00,Appliance Manufacturing,1.00,"22,836.00",297,1.11,299.00
Willis Towers Watson Public Limited Company,,328.00,no report,no 2020 GHG data,"9,476.00",,328.00,Insurance,13.00,0.00,1,0.00,1.00
Xcel Energy Inc.,"37,065,176.00",320.00,yes,no assurances,"12,256.00","3,024.25",317.00,Electric Utilities & Power Generators,13.00,"43,084,156.00",397,"3,515.35",393.00
"Xilinx, Inc.","21,876.00",38.00,no,no assurances,"3,147.60",6.95,85.00,Semiconductors,1.00,0.00,1,0.00,1.00
Xylem Inc.,"63,817.00",88.00,no,limited,"5,009.00",12.74,126.00,Industrial Machinery & Goods,2.00,0.00,1,0.00,1.00
"Yum! Brands, Inc.","169,860.00",140.00,yes,limited,"5,875.00",28.91,180.00,Restaurants,1.00,0.00,1,0.00,1.00
Zebra Technologies Corporation,"11,500.00",23.00,no,limited,"4,743.00",2.42,45.00,Hardware,2.00,0.00,1,0.00,1.00
"Zimmer Biomet Holdings, Inc.",,328.00,no report,no 2020 GHG data,"7,088.10",,328.00,Medical Equipment & Supplies,16.00,0.00,1,0.00,1.00
"Zions Bancorporation, National Association",,328.00,no report,no 2020 GHG data,"2,800.00",,328.00,Commercial Banks,14.00,0.00,1,0.00,1.00
Zoetis Inc.,"298,206.00",173.00,yes,no assurances,"7,012.00",42.53,217.00,Biotechnology & Pharmaceuticals,8.00,0.00,1,0.00,1.00
